361,149,79,21,93
362,148,81,21,94
363,148,81,21,94
364,149,79,27,94
365,151,77,40,94
366,149,75,32,92
367,148,75,27,91
368,146,79,24,92
369,147,79,30,93
370,149,77,30,93
371,151,77,30,93
372,152,77,24,93
373,152,77,24,93
374,152,77,24,93
375,151,77,24,93
376,149,75,27,91
377,149,75,27,91
378,148,73,35,91
379,148,77,43,94
380,148,75,32,91
381,146,77,27,91
382,147,71,32,89
383,144,75,35,91
384,143,73,32,89
385,143,75,24,89
386,143,73,21,88
387,140,71,24,86
388,139,68,21,83
389,135,66,18,81
390,134,62,18,78
391,126,64,18,77
392,125,57,27,73
393,120,59,27,73
394,115,59,27,72
395,112,59,30,71
396,111,52,30,67
397,109,50,27,65
398,109,50,15,63
399,105,48,6,60
400,102,50,6,60
401,102,50,6,60
402,102,50,18,61
403,104,50,30,63
404,102,52,27,64
405,105,50,30,64
406,104,52,21,64
407,107,52,21,64
408,107,57,15,67
409,111,52,24,66
410,112,57,18,68
411,112,57,24,69
412,114,59,21,71
413,119,59,27,73
414,120,64,21,75
415,122,62,24,75
416,122,68,15,78
417,128,66,21,79
418,132,71,21,83
419,136,66,30,82
420,136,73,24,86
421,142,73,21,87
422,146,79,24,92
423,146,79,40,94
424,147,81,32,95
425,149,79,27,94
426,154,79,32,96
427,158,77,38,96
428,160,79,35,98
429,160,79,40,98
430,159,83,30,99
431,158,87,27,101
432,158,89,30,102
433,160,85,43,102
434,162,83,45,102
435,160,85,43,102
436,158,89,35,103
437,158,87,32,101
438,161,81,32,99
439,157,85,30,100
440,154,83,32,98
441,152,81,35,96
442,149,79,27,94
443,148,81,21,94
444,149,75,27,91
445,148,75,27,91
446,147,73,30,90
447,143,73,32,89
448,143,66,27,84
449,139,66,18,82
450,134,66,12,80
451,129,66,15,79
452,129,57,32,75
453,123,57,43,75
454,119,52,40,70
455,114,52,35,68
456,111,48,35,65
457,105,50,30,64
458,102,45,24,59
459,96,45,12,56
460,95,43,15,55
461,87,43,18,53
462,81,38,18,48
463,75,40,18,47
464,73,38,15,45
465,71,38,15,45
466,66,38,15,43
467,66,38,15,43
468,73,30,15,41
469,68,32,15,40
470,66,38,12,43
471,66,38,15,43
472,64,40,9,43
473,68,40,9,44
474,71,43,6,47
475,71,40,12,46
476,71,43,12,47
477,77,38,12,46
478,79,45,9,51
479,81,43,6,50
480,83,45,6,51
481,85,45,9,52
