,,,-0.0931,0.0816,,6.18E-04,1.53E+08,,8.16E-04
,,,-0.093,0.082,,6.20E-04,1.54E+08,,8.20E-04
,,,-0.0929,0.0812,,6.23E-04,1.55E+08,,8.12E-04
,,,-0.0928,0.082,,6.25E-04,1.55E+08,,8.20E-04
,,,-0.0927,0.0812,,6.28E-04,1.56E+08,,8.12E-04
,,,-0.0926,0.0808,,6.30E-04,1.57E+08,,8.08E-04
,,,-0.0925,0.0824,,6.33E-04,1.57E+08,,8.24E-04
,,,-0.0924,0.0824,,6.35E-04,1.58E+08,,8.24E-04
,,,-0.0923,0.0812,,6.38E-04,1.58E+08,,8.12E-04
,,,-0.0922,0.0808,,6.40E-04,1.59E+08,,8.08E-04
,,,-0.0921,0.0816,,6.43E-04,1.60E+08,,8.16E-04
,,,-0.092,0.0824,,6.45E-04,1.60E+08,,8.24E-04
,,,-0.0919,0.0816,,6.48E-04,1.61E+08,,8.16E-04
,,,-0.0918,0.0816,,6.50E-04,1.61E+08,,8.16E-04
,,,-0.0917,0.082,,6.53E-04,1.62E+08,,8.20E-04
,,,-0.0916,0.0812,,6.55E-04,1.63E+08,,8.12E-04
,,,-0.0915,0.0824,,6.58E-04,1.63E+08,,8.24E-04
,,,-0.0914,0.0812,,6.60E-04,1.64E+08,,8.12E-04
,,,-0.0913,0.0812,,6.63E-04,1.65E+08,,8.12E-04
,,,-0.0912,0.082,,6.65E-04,1.65E+08,,8.20E-04
,,,-0.0911,0.0812,,6.68E-04,1.66E+08,,8.12E-04
,,,-0.091,0.082,,6.70E-04,1.66E+08,,8.20E-04
,,,-0.0909,0.082,,6.73E-04,1.67E+08,,8.20E-04
,,,-0.0908,0.082,,6.75E-04,1.68E+08,,8.20E-04
,,,-0.0907,0.082,,6.78E-04,1.68E+08,,8.20E-04
,,,-0.0906,0.082,,6.80E-04,1.69E+08,,8.20E-04
,,,-0.0905,0.0816,,6.83E-04,1.70E+08,,8.16E-04
,,,-0.0904,0.0804,,6.85E-04,1.70E+08,,8.04E-04
,,,-0.0903,0.0828,,6.88E-04,1.71E+08,,8.28E-04
,,,-0.0902,0.0828,,6.90E-04,1.71E+08,,8.28E-04
