,"measured value, xi",y,"deviation, di=xi-x","deviation squared, (di)^2",fit,(y-fit)^2
,541,154,241,58081,94.64889971,3522.553106
,542,,242,58564,93.88748146,8814.859175
,543,150,243,59049,93.12907372,3234.302256
,544,,244,59536,92.3737027,8532.90095
,545,149,245,60025,91.62139408,3292.304417
,546,,246,60516,90.87217306,8257.751836
,547,150,247,61009,90.12606428,3584.888179
,548,,248,61504,89.3830919,7989.337117
,549,147,249,62001,88.64327955,3405.506822
,550,,250,62500,87.90665037,7727.579179
,551,147,251,63001,87.17322696,3579.242772
,552,,252,63504,86.44303145,7472.397685
,553,145,253,64009,85.71608542,3514.582528
,554,,254,64516,84.99240997,7223.709752
,555,143,255,65025,84.2720257,3448.974966
,556,,256,65536,83.55495268,6981.430118
,557,144,257,66049,82.84121052,3740.397531
,558,,258,66564,82.13081828,6745.471312
,559,143,259,67081,81.42379457,3791.629075
,560,,260,67600,80.72015747,6515.743821
,561,143,261,68121,80.01992457,3966.489901
,562,,262,68644,79.323113,6292.156255
,563,143,263,69169,78.62973935,4143.530456
,564,,264,69696,77.93981976,6074.615503
,565,141,265,70225,77.25336986,4063.632854
,566,,266,70756,76.57040481,5863.026893
,567,137,267,71289,75.89093929,3734.317301
,568,,268,71824,75.21498749,5657.294343
,569,134,269,72361,74.54256313,3535.1868
,570,,270,72900,73.87367944,5457.320514
,571,131,271,73441,73.20834921,3339.874901
,572,,272,73984,72.54658472,5263.006955
,573,131,273,74529,71.88839782,3494.181512
,574,,274,75076,71.23379987,5074.254244
,575,130,275,75625,70.58280178,3530.403444
,576,,276,76176,69.935414,4890.962132
,577,127,277,76729,69.29164652,3330.254061
,578,,278,77284,68.65150888,4713.029671
,579,124,279,77841,68.01501016,3134.319088
,580,,280,78400,67.38215901,4540.355352
,581,123,281,78961,66.75296362,3163.729102
,582,,282,79524,66.12743174,4372.837229
,583,120,283,80089,65.5055707,2969.642825
,584,,284,80656,64.88738737,4210.37304
,585,117,285,81225,64.27288821,2780.148318
,586,,286,81796,63.66207922,4052.860331
,587,115,287,82369,63.05496601,2698.286556
,588,,288,82944,62.45155375,3900.196566
,589,115,289,83521,61.85184719,2824.726147
,590,,290,84100,61.25585067,3752.279241
,591,115,291,84681,60.66356811,2952.447831
,592,,292,85264,60.07500303,3609.005989
,593,110,293,85849,59.49015854,2551.244085
,594,,294,86436,58.90903735,3470.274681
,595,106,295,87025,58.33164177,2272.272377
,596,,296,87616,57.75797372,3335.983528
,597,106,297,88209,57.18803472,2382.607955
,598,,298,88804,56.62182591,3206.03117
,599,107,299,89401,56.05934805,2594.950021
sum ,179700,,0,17910100,,10429043.83
mean,300,,,,,
std,172.913,,,29899,,
height ,250,,,,,
